ID	btuB	bvgS	pheT	sdaA	combin_ST	HiSST
Pseudomonas aeruginosa PSE305	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa PSE6684	27	14	29	15	27-14-29-15	11
Pseudomonas aeruginosa QZPH16	6	12	19	5	6-12-19-5	117
Pseudomonas aeruginosa QZPH21	6	12	19	5	6-12-19-5	117
Pseudomonas aeruginosa QZPH41	37	2	1	4	37-2-1-4	154
Pseudomonas aeruginosa R01	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R02	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R03	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R04	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R05	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R06	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R07	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R08	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R09	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R10	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R11	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa R20-14	43	13	64	5	43-13-64-5	155
Pseudomonas aeruginosa R31	6	12	19	5	6-12-19-5	117
Pseudomonas aeruginosa RD1-3	5	3	17	18	5-3-17-18	156
Pseudomonas aeruginosa RIVM-EMC2982	2	3	3	3	2-3-3-3	9
Pseudomonas aeruginosa RP73	2	2	5	14	2-2-5-14	157
Pseudomonas aeruginosa RW109	2	3	3	3	2-3-3-3	9
Pseudomonas aeruginosa S-1	22	14	42	5	22-14-42-5	158
Pseudomonas aeruginosa S04 90	10	14	20	21	10-14-20-21	28
Pseudomonas aeruginosa S86968	55	2	4	19	55-2-4-19	32
Pseudomonas aeruginosa SCAID PHRX1-2019	2	2	12	12	2-2-12-12	159
Pseudomonas aeruginosa SCAID PLC1-2021	9	14	25	21	9-14-25-21	26
Pseudomonas aeruginosa SCAID TST-2021	9	14	25	21	9-14-25-21	26
Pseudomonas aeruginosa SCAID WND1-2019	2	2	12	12	2-2-12-12	159
Pseudomonas aeruginosa SCAID WND1-2021	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa SCAID WND2-2019	44	5	8	19	44-5-8-19	160
Pseudomonas aeruginosa SCAID WND3-2019	49	32	23	23	49-32-23-23	161
Pseudomonas aeruginosa SCV20265	58	10	55	18	58-10-55-18	123
Pseudomonas aeruginosa SCVFeb	43	2	9	5	43-2-9-5	51
Pseudomonas aeruginosa SCVJan	43	2	9	5	43-2-9-5	51
Pseudomonas aeruginosa SE5331	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa SE5352	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa SE5357	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa SE5369	55	2	4	19	55-2-4-19	32
Pseudomonas aeruginosa SE5381	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa SE5416	2	6	9	10	2-6-9-10	162
Pseudomonas aeruginosa SE5418	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa SE5419	2	6	9	10	2-6-9-10	162
Pseudomonas aeruginosa SE5429	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa SE5430	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa SE5431	9	14	22	20	9-14-22-20	133
Pseudomonas aeruginosa SE5443	10	2	1	25	10-2-1-25	163
Pseudomonas aeruginosa SE5452	8	4	10	11	8-4-10-11	31
Pseudomonas aeruginosa SE5458	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa SG17M	48	15	31	9	48-15-31-9	61
Pseudomonas aeruginosa SP2230	23	14	37	20	23-14-37-20	27
Pseudomonas aeruginosa SP4371	23	14	37	37	23-14-37-37	164
Pseudomonas aeruginosa SP4527	23	14	37	20	23-14-37-20	27
Pseudomonas aeruginosa SP4528	23	14	37	39	23-14-37-39	165
Pseudomonas aeruginosa SRRSH1002	6	12	19	5	6-12-19-5	117
Pseudomonas aeruginosa SRRSH1120	6	12	19	5	6-12-19-5	117
Pseudomonas aeruginosa SRRSH1408	6	12	19	5	6-12-19-5	117
Pseudomonas aeruginosa SRRSH15	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa SRRSH1521	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa SRRSH2790	6	12	19	5	6-12-19-5	117
Pseudomonas aeruginosa ST1076_d100blood1	47	14	66	21	47-14-66-21	84
Pseudomonas aeruginosa ST1076_d100blood2	47	14	66	21	47-14-66-21	84
Pseudomonas aeruginosa ST1076_d118limb1	47	14	66	21	47-14-66-21	84
Pseudomonas aeruginosa St1076_d123blood	47	14	66	21	47-14-66-21	84
Pseudomonas aeruginosa ST1076_d97burn1	47	14	66	21	47-14-66-21	84
Pseudomonas aeruginosa ST1076_d97burn2	47	14	66	21	47-14-66-21	84
Pseudomonas aeruginosa ST167_d26burn	30	10	9	9	30-10-9-9	166
Pseudomonas aeruginosa ST167_d57blood	30	10	9	9	30-10-9-9	166
Pseudomonas aeruginosa ST167_d67burn1	30	10	9	9	30-10-9-9	166
Pseudomonas aeruginosa ST167_d67burn2	30	10	9	9	30-10-9-9	166
Pseudomonas aeruginosa ST167_d68blood1	30	10	9	9	30-10-9-9	166
Pseudomonas aeruginosa ST167_d68blood2	30	10	9	9	30-10-9-9	166
Pseudomonas aeruginosa ST773	27	14	29	15	27-14-29-15	11
Pseudomonas aeruginosa T2101	53	3	42	51	53-3-42-51	139
Pseudomonas aeruginosa T2436	10	14	5	21	10-14-5-21	167
Pseudomonas aeruginosa T38079	55	2	4	19	55-2-4-19	32
Pseudomonas aeruginosa T52373	29	10	2	14	29-10-2-14	168
Pseudomonas aeruginosa T63266	43	3	4	5	43-3-4-5	92
Pseudomonas aeruginosa TJ2014-049	36	25	58	45	36-25-58-45	169
Pseudomonas aeruginosa TJ2019-017	8	15	26	24	8-15-26-24	170
Pseudomonas aeruginosa TJ2019-022	30	26	8	5	30-26-8-5	171
Pseudomonas aeruginosa TL1285	38	17	26	21	38-17-26-21	42
Pseudomonas aeruginosa TL3773	6	12	19	5	6-12-19-5	117
Pseudomonas aeruginosa UAB2CT	53	8	23	33	53-8-23-33	18
Pseudomonas aeruginosa UAB2PBS	53	8	23	33	53-8-23-33	18
Pseudomonas aeruginosa UCBPP-PA14	30	21	28	16	30-21-28-16	46
Pseudomonas aeruginosa UNC_PaerCF05	53	3	25	3	53-3-25-3	172
Pseudomonas aeruginosa UNC_PaerCF13	8	2	2	19	8-2-2-19	173
Pseudomonas aeruginosa UNC_PaerCF14	59	3	25	3	59-3-25-3	174
Pseudomonas aeruginosa UNC_PaerCF17	43	15	25	26	43-15-25-26	175
Pseudomonas aeruginosa UNC_PaerCF19	16	3	2	3	16-3-2-3	176
Pseudomonas aeruginosa UNC_PaerCF20	55	2	4	19	55-2-4-19	32
Pseudomonas aeruginosa UNC_PaerCF25	44	12	65	4	44-12-65-4	177
Pseudomonas aeruginosa UNC_PaerCF34	45	2	25	7	45-2-25-7	126
Pseudomonas aeruginosa UNC_PaerCF35	8	2	24	23	8-2-24-23	178
Pseudomonas aeruginosa UNC_PaerCF37	53	2	73	5	53-2-73-5	179
Pseudomonas aeruginosa UNC_PaerCF38	30	2	44	5	30-2-44-5	180
Pseudomonas aeruginosa UNC_PaerCF41	22	18	3	34	22-18-3-34	181
Pseudomonas aeruginosa US449	30	2	50	5	30-2-50-5	182
Pseudomonas aeruginosa USDA-ARS-USMARC-41639	53	2	75	18	53-2-75-18	183
Pseudomonas aeruginosa VA-134	29	3	25	29	29-3-25-29	184
Pseudomonas aeruginosa VRFPA04	12	17	30	20	12-17-30-20	185
Pseudomonas aeruginosa W16407	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa W36662	48	15	31	9	48-15-31-9	61
Pseudomonas aeruginosa W45909	43	30	24	19	43-30-24-19	65
Pseudomonas aeruginosa W60856	62	2	31	17	62-2-31-17	47
Pseudomonas aeruginosa WCHPA075019	53	26	71	5	53-26-71-5	7
Pseudomonas aeruginosa WPB098	53	3	9	5	53-3-9-5	186
Pseudomonas aeruginosa WPB099	9	14	25	21	9-14-25-21	26
Pseudomonas aeruginosa WPB100	9	14	25	21	9-14-25-21	26
Pseudomonas aeruginosa WPB101	9	14	25	21	9-14-25-21	26
Pseudomonas aeruginosa WTJH12	19	2	4	19	19-2-4-19	72
Pseudomonas aeruginosa WTJH17	53	10	70	6	53-10-70-6	45
Pseudomonas aeruginosa X78812	5	3	18	4	5-3-18-4	187
Pseudomonas aeruginosa Y31	61	5	78	5	61-5-78-5	188
Pseudomonas aeruginosa Y71	53	26	71	5	53-26-71-5	7
Pseudomonas aeruginosa Y82	2	3	3	3	2-3-3-3	9
Pseudomonas aeruginosa Y89	53	26	71	5	53-26-71-5	7
Pseudomonas aeruginosa YB01	2	8	12	13	2-8-12-13	189
Pseudomonas aeruginosa YD001	14	3	31	5	14-3-31-5	190
Pseudomonas aeruginosa YL84	62	13	9	5	62-13-9-5	191
Pseudomonas aeruginosa YT12746	58	10	77	5	58-10-77-5	192
Pseudomonas aeruginosa YTSEY8	58	10	77	5	58-10-77-5	192
Pseudomonas aeruginosa YTSY4	53	2	72	52	53-2-72-52	193
Pseudomonas aeruginosa YY322	22	3	15	6	22-3-15-6	194
Pseudomonas aeruginosa ZBX-P11	38	17	26	21	38-17-26-21	42
Pseudomonas aeruginosa ZBX-P12	43	3	15	6	43-3-15-6	25
Pseudomonas aeruginosa ZBX-P13	23	14	37	20	23-14-37-20	27
Pseudomonas aeruginosa ZBX-P23	63	3	15	6	63-3-15-6	195
Pseudomonas aeruginosa ZPPH1	54	5	60	5	54-5-60-5	70
Pseudomonas aeruginosa ZPPH14	53	2	16	35	53-2-16-35	196
Pseudomonas aeruginosa ZPPH2	54	5	60	5	54-5-60-5	70
Pseudomonas aeruginosa ZPPH29	2	2	5	5	2-2-5-5	20
Pseudomonas aeruginosa ZPPH33	54	5	60	5	54-5-60-5	70
Pseudomonas aeruginosa ZS-PA-05	36	25	57	44	36-25-57-44	137
